Student_ID,WAEC_Subjects,WAEC_Grades,JAMB_Subjects,JAMB_Score,JAMB_Cutoff,Post_UTME_Score,Aggregate_Score,Course_Cutoff,Admitted_Course
9f4e3449,"Civic Education, Financial Accounting, Agricultural Science, Commerce, Chemistry","B2, C4, A1, E8, C4","Physics, Economics, Literature in English, Commerce",254,150,63,63.25,54.38,ND Banking & Finance
b0da96c4,"Physics, Mathematics, Financial Accounting, Commerce, Government","C6, D7, C5, C4, C6","Economics, Mathematics, Chemistry, Commerce",233,150,97,77.62,50.63,ND Building Technology
ddfca0df,"Financial Accounting, Geography, Physics, Agricultural Science, Biology","B3, C6, F9, B2, B3","Literature in English, Geography, Government, Mathematics",281,150,57,63.62,61.75,ND Computer Science
ce7e66e9,"Economics, Civic Education, Agricultural Science, Biology, Chemistry","B2, E8, A1, B2, C4","Geography, Mathematics, Biology, Government",243,150,47,53.88,58,None
ee4c7d06,"Biology, English Language, Literature in English, Financial Accounting, Commerce","C4, D7, B3, C4, B2","Chemistry, Government, Physics, Mathematics",288,160,54,63,50,B.Sc Industrial Technical Education
5dabccbc,"Physics, Mathematics, Literature in English, Commerce, Biology","C4, E8, C6, C6, B3","Economics, Biology, Literature in English, Government",325,150,81,81.12,61.5,ND Electrical & Electronics Engineering
f56d3a31,"Literature in English, Geography, Biology, Government, Economics","B3, B3, E8, D7, C6","English Language, Chemistry, Mathematics, Economics",334,150,33,58.25,54.75,ND Marine Engineering
738801de,"Biology, Economics, Chemistry, Government, Physics","B2, C5, C5, F9, C4","Government, Chemistry, Biology, Commerce",331,150,73,77.88,58.38,ND Marketing
9c1bc6df,"Civic Education, Agricultural Science, Physics, Biology, Mathematics","D7, A1, A1, C5, E8","Mathematics, Biology, Commerce, English Language",192,150,57,52.5,50.63,ND Building Technology
5753aa5a,"English Language, Financial Accounting, Geography, Physics, Literature in English","C4, B2, B3, B2, C5","Literature in English, Physics, Chemistry, Mathematics",179,150,55,49.88,50,None
4f210c09,"Biology, Chemistry, Commerce, Physics, Geography","C6, E8, E8, F9, A1","Economics, Geography, English Language, Chemistry",234,160,58,58.25,50,B.Sc Integrated Science
928d1400,"Biology, Government, Commerce, Physics, Financial Accounting","D7, C6, D7, C6, E8","Chemistry, Economics, Physics, English Language",273,150,36,52.12,50,ND Surveying & Geo-Informatics
232e7856,"English Language, Government, Financial Accounting, Economics, Commerce","B2, D7, C6, E8, C5","Mathematics, Chemistry, Literature in English, Economics",285,150,22,46.62,50,None
92a7fb95,"Civic Education, Mathematics, Economics, Financial Accounting, Geography","A1, C5, E8, A1, F9","Chemistry, Government, English Language, Geography",266,160,84,75.25,50,B.Sc Art Education
b93902cf,"Government, Physics, Civic Education, Commerce, Financial Accounting","C6, A1, C6, D7, B3","Literature in English, Government, Biology, English Language",304,160,30,53,50,B.Sc Integrated Science
817aae95,"Physics, Financial Accounting, Mathematics, Economics, Literature in English","B2, C6, C6, B3, B2","Economics, English Language, Physics, Government",257,150,30,47.12,54,None
b8999ace,"Literature in English, Financial Accounting, Physics, Biology, Economics","C6, E8, C4, B2, B3","Mathematics, Literature in English, Physics, Government",155,150,91,64.88,60.38,ND Fashion Design
a14fb720,"Agricultural Science, Civic Education, Government, Physics, Literature in English","E8, C4, B2, C4, B2","Chemistry, Physics, Government, Geography",217,160,88,71.12,50,B.Sc Chemistry Education
9594f9cb,"Chemistry, Civic Education, Government, Biology, English Language","B2, E8, C5, F9, C6","English Language, Biology, Commerce, Physics",278,160,25,47.25,50,None
fb45e953,"Geography, Government, Financial Accounting, Physics, Mathematics","C5, A1, B3, B2, B2","Government, Biology, Mathematics, Geography",153,150,99,68.62,50,ND Metallurgical Engineering
927b518d,"Economics, Literature in English, Physics, Biology, Commerce","C4, C4, D7, E8, E8","Government, English Language, Literature in English, Economics",240,150,96,78,59.25,ND Mechatronics Engineering
69a06b97,"Mathematics, Government, Physics, Commerce, Chemistry","F9, E8, C6, C5, A1","Economics, English Language, Commerce, Chemistry",274,150,24,46.25,50,None
2b5daad6,"Geography, Agricultural Science, Financial Accounting, Chemistry, Biology","B3, F9, C6, B2, A1","Mathematics, Biology, Economics, Chemistry",299,150,44,59.38,56.5,ND Office Technology & Mgt
bbeb8829,"Literature in English, Chemistry, Financial Accounting, Economics, Geography","D7, C6, C6, C4, B2","Chemistry, Biology, Economics, English Language",281,150,77,73.62,61.75,ND Computer Science
dafc0808,"Biology, Agricultural Science, Physics, Commerce, Financial Accounting","F9, C4, B2, D7, E8","Biology, Mathematics, English Language, Geography",255,150,48,55.88,59.25,None
8aabbded,"Chemistry, Biology, Economics, Government, Financial Accounting","B2, C4, B3, D7, D7","Commerce, Economics, Geography, Government",186,150,93,69.75,50,ND Library &  Information Science
b2d0837f,"Biology, Physics, Mathematics, Chemistry, Commerce","C4, F9, E8, B3, B3","Commerce, Geography, Physics, Economics",154,150,27,32.75,58.5,None
c74d48ea,"Biology, Chemistry, Financial Accounting, Agricultural Science, Geography","C5, B3, A1, B2, C5","Commerce, Geography, Economics, Literature in English",178,150,44,44.25,50,None
bc8bf3d0,"Physics, Government, English Language, Economics, Chemistry","A1, C4, D7, C4, C4","Chemistry, English Language, Mathematics, Literature in English",226,150,84,70.25,50,ND Leisure & Tourism
6dd0d581,"Civic Education, Economics, Mathematics, Geography, Agricultural Science","C4, C5, B2, E8, A1","Physics, Geography, Literature in English, Chemistry",306,150,87,81.75,64.38,ND Science Laboratory Technology
b4006442,"Financial Accounting, Civic Education, Biology, English Language, Geography","D7, B3, B3, D7, E8","Chemistry, Biology, Geography, Economics",249,160,31,46.62,50,None
762a7c67,"Literature in English, Chemistry, Mathematics, Geography, English Language","A1, F9, E8, A1, A1","English Language, Commerce, Physics, Geography",189,150,68,57.62,59.75,None
d70c9d96,"Civic Education, Chemistry, Commerce, Literature in English, Agricultural Science","C4, D7, C6, E8, D7","English Language, Physics, Commerce, Geography",212,160,44,48.5,50,None
e96ddadf,"Physics, Financial Accounting, English Language, Commerce, Economics","B2, C4, C6, B2, C4","Commerce, Mathematics, Economics, English Language",261,150,22,43.62,58.5,None
34ac8f6d,"Civic Education, Government, Literature in English, Mathematics, Financial Accounting","F9, D7, C4, C6, D7","Literature in English, Mathematics, Chemistry, Government",267,150,45,55.88,50,ND Polymer Technology
614f4fc2,"Agricultural Science, Government, Economics, Chemistry, Civic Education","C4, B3, B2, A1, C6","Government, Mathematics, Physics, Chemistry",206,150,56,53.75,50,ND Quantity Surveying
d3cd6d51,"Geography, English Language, Biology, Commerce, Mathematics","D7, B3, C6, D7, D7","Government, Biology, Chemistry, Geography",220,150,96,75.5,61.5,ND Electrical & Electronics Engineering
c89b59b7,"Economics, Government, Biology, Literature in English, Mathematics","A1, E8, C6, A1, C5","Literature in English, Commerce, Mathematics, Physics",230,150,97,77.25,58.5,ND Business Administration & Management
010dfbb7,"Geography, Government, Literature in English, Biology, Civic Education","C5, C5, B3, C6, C4","Chemistry, Economics, Government, Commerce",176,150,58,51,54.38,None
9e826960,"Mathematics, Physics, Financial Accounting, Agricultural Science, Geography","C4, F9, A1, E8, E8","Commerce, Physics, Chemistry, Mathematics",294,150,67,70.25,64.38,ND Science Laboratory Technology
ef37e53c,"Agricultural Science, Civic Education, Commerce, Physics, Geography","E8, A1, B2, C6, B3","Government, Biology, English Language, Geography",334,160,33,58.25,50,B.Sc Computer Education
96c519e1,"Literature in English, Government, Geography, Physics, Biology","B2, C5, A1, C4, C4","Mathematics, Geography, Economics, Commerce",152,150,20,29,58,None
6cd73e5c,"Chemistry, Financial Accounting, Literature in English, Economics, Physics","C6, F9, C5, D7, A1","Commerce, Economics, Physics, Geography",295,150,82,77.88,50,ND Textile Technology
06a51a65,"Geography, Mathematics, English Language, Biology, Chemistry","C4, C6, C5, C4, F9","Chemistry, Geography, Mathematics, Government",242,150,41,50.75,50,ND Agricultural Technology
89a130af,"Government, Chemistry, Literature in English, Physics, English Language","C6, A1, C5, F9, D7","Economics, Commerce, Chemistry, Biology",248,150,83,72.5,50,ND Urban & Regional Planning
51a4b617,"English Language, Financial Accounting, Biology, Mathematics, Chemistry","E8, C4, C4, B2, C6","English Language, Government, Commerce, Mathematics",212,150,79,66,50.88,ND Agricultural & Bio-Environmental Engineering
2bdf58e6,"Geography, Biology, Chemistry, Physics, Mathematics","E8, E8, E8, B3, A1","Chemistry, Physics, Mathematics, Commerce",186,150,82,64.25,59.75,ND Accountancy
2c8b7e87,"Economics, Geography, English Language, Civic Education, Biology","B3, C6, A1, C6, B3","Economics, Commerce, Mathematics, Literature in English",221,150,59,57.12,50.63,ND Building Technology
e794c960,"English Language, Chemistry, Economics, Mathematics, Commerce","C6, B3, B3, C5, A1","Physics, Mathematics, Literature in English, Commerce",347,160,40,63.38,50,B.Sc Biology Education
8036e25a,"Civic Education, Agricultural Science, Physics, Economics, Government","C6, D7, B3, C4, E8","Economics, English Language, Literature in English, Commerce",169,160,87,64.62,50,B.Sc Integrated Science
054134c1,"Geography, Physics, Financial Accounting, Government, Agricultural Science","B2, D7, B2, B3, B2","English Language, Mathematics, Biology, Government",165,150,80,60.62,59.75,ND Accountancy
aecf40e9,"Biology, Commerce, Literature in English, English Language, Geography","F9, B2, A1, C6, C6","Literature in English, Biology, Mathematics, Commerce",205,150,46,48.62,50.88,None
8c2e0fdb,"English Language, Mathematics, Government, Financial Accounting, Biology","F9, B3, C6, B2, D7","Economics, Biology, Chemistry, Physics",181,150,52,48.62,50,None
5b8ed230,"Biology, English Language, Mathematics, Civic Education, Chemistry","A1, D7, A1, E8, C5","Literature in English, Biology, English Language, Chemistry",319,160,94,86.88,50,B.Sc Biology Education
60b92026,"Mathematics, Commerce, Chemistry, Biology, Agricultural Science","D7, D7, C4, E8, B2","Biology, Physics, Economics, Geography",318,160,51,65.25,50,B.Sc Physics Education
aa5d0cd3,"English Language, Literature in English, Chemistry, Agricultural Science, Biology","F9, A1, A1, B2, D7","Physics, Literature in English, Biology, English Language",345,160,64,75.12,50,B.Sc Home Economics Education.
6c76524f,"English Language, Physics, Financial Accounting, Commerce, Agricultural Science","B3, E8, C4, C6, F9","Physics, Commerce, Mathematics, Economics",216,150,21,37.5,57.38,None
99a93c02,"Physics, Government, Biology, Agricultural Science, English Language","D7, B3, D7, C4, F9","Government, Commerce, Geography, Biology",221,150,36,45.62,57.38,None
1688e467,"Government, English Language, Commerce, Physics, Biology","D7, F9, F9, C6, A1","Geography, Physics, Mathematics, Government",299,150,55,64.88,50,ND Agricultural Technology
5b1b3c27,"Commerce, Agricultural Science, Chemistry, English Language, Geography","A1, C4, C4, D7, E8","Biology, Government, Chemistry, Economics",320,150,93,86.5,57.38,ND Mechanical Engineering
140fa378,"Agricultural Science, Geography, Commerce, Physics, Literature in English","A1, D7, B3, B2, B2","Geography, Physics, Biology, Chemistry",178,150,48,46.25,57.38,None
19a1ceb5,"Economics, Government, Agricultural Science, Geography, Civic Education","E8, C5, B3, A1, B2","Geography, Literature in English, Physics, Economics",292,150,37,55,56.5,None
9e5dba23,"Agricultural Science, Biology, Literature in English, Civic Education, Economics","C4, B3, C5, D7, E8","Government, Literature in English, Geography, Mathematics",185,150,48,47.12,50,None
74ec494b,"English Language, Mathematics, Agricultural Science, Economics, Government","C6, B2, A1, E8, E8","English Language, Mathematics, Chemistry, Biology",216,150,41,47.5,57.38,None
c4c1c646,"Financial Accounting, Physics, Government, Economics, Literature in English","E8, D7, B2, C5, C5","Geography, Physics, Government, Economics",270,150,75,71.25,58,ND Architectural Technology
28adcb71,"Economics, Biology, Agricultural Science, Commerce, Physics","E8, C5, A1, D7, F9","English Language, Literature in English, Chemistry, Government",300,150,56,65.5,50,ND Quantity Surveying
8ee64883,"Civic Education, Financial Accounting, Chemistry, Mathematics, Government","A1, B2, E8, B3, B2","Biology, Geography, Chemistry, Government",322,150,98,89.25,56.5,ND Office Technology & Mgt
e07821c4,"Literature in English, Commerce, Financial Accounting, Chemistry, Government","C4, A1, C6, C6, F9","Mathematics, English Language, Economics, Chemistry",316,160,59,69,50,B.Sc Computer Education
b738bea8,"Economics, Financial Accounting, Civic Education, Agricultural Science, Mathematics","D7, C5, B2, C5, C6","English Language, Literature in English, Government, Biology",289,160,94,83.12,50,B.Sc Integrated Science
d27daa6f,"Literature in English, Geography, Chemistry, Financial Accounting, Government","F9, E8, C4, B3, F9","Government, Physics, Chemistry, Commerce",274,160,25,46.75,50,None
8816098f,"Physics, Literature in English, Economics, English Language, Chemistry","A1, C6, C4, C6, C4","Economics, Biology, English Language, Commerce",152,150,89,63.5,62.13,ND Mass Communication
8da0295e,"Commerce, Financial Accounting, Biology, Civic Education, Government","D7, C4, B2, E8, A1","Biology, Chemistry, Geography, Economics",162,150,68,54.25,56.75,None
e8ed1c81,"Geography, Biology, Physics, English Language, Literature in English","B3, C6, C6, D7, F9","Commerce, English Language, Chemistry, Literature in English",334,160,79,81.25,50,B.Sc Industrial Technical Education
b12fbe44,"Geography, Biology, Commerce, Mathematics, English Language","A1, B2, F9, A1, A1","Mathematics, Government, Geography, Commerce",336,160,20,52,50,B.Sc Industrial Technical Education
f5eec1f7,"Chemistry, English Language, Biology, Financial Accounting, Literature in English","C5, A1, B2, C5, D7","Literature in English, Government, Chemistry, Geography",273,160,85,76.62,50,B.Sc Home Economics Education.
7e4b6262,"Biology, Chemistry, Mathematics, Literature in English, Geography","E8, B2, C6, C4, B2","English Language, Government, Literature in English, Biology",273,150,93,80.62,60.38,ND Fashion Design
6cb13b34,"Physics, Commerce, English Language, Literature in English, Economics","A1, B2, B2, F9, E8","Government, Physics, Biology, Mathematics",240,150,54,57,56.25,ND Estate Management
366a12c0,"Agricultural Science, Government, Chemistry, English Language, Mathematics","A1, B3, A1, C5, C5","Physics, Economics, Geography, Literature in English",195,160,23,35.88,50,None
b4fa699c,"Literature in English, Geography, Mathematics, Agricultural Science, Commerce","C6, C4, A1, B3, C4","Geography, Mathematics, Physics, Commerce",219,160,34,44.38,50,None
21b64015,"Government, Literature in English, Physics, Civic Education, Commerce","A1, B2, A1, C5, B2","Mathematics, English Language, Physics, Government",343,150,34,59.88,55.88,ND Food Technology
45380a1c,"Physics, Chemistry, Mathematics, Geography, Economics","B2, B2, E8, A1, C4","Chemistry, Biology, Geography, English Language",328,160,20,51,50,B.Sc Industrial Technical Education
74e3f9c4,"Government, Agricultural Science, Financial Accounting, Literature in English, Geography","B2, E8, D7, C4, C4","Commerce, Chemistry, English Language, Physics",184,150,71,58.5,64.38,None
fbb13aff,"Geography, Commerce, Literature in English, English Language, Chemistry","B3, E8, B3, B2, C6","Commerce, Physics, English Language, Mathematics",254,150,91,77.25,63.25,ND Public Administration
55514583,"Chemistry, Economics, Agricultural Science, Civic Education, Literature in English","F9, A1, E8, C5, C5","Geography, English Language, Literature in English, Physics",164,150,28,34.5,50.63,None
31edb3f7,"English Language, Commerce, Economics, Mathematics, Civic Education","B2, D7, D7, C5, F9","Literature in English, Biology, Physics, Mathematics",177,160,63,53.62,50,B.Sc Physics Education
c448ac91,"Economics, Physics, Agricultural Science, Biology, Geography","D7, B3, B3, B3, A1","Economics, Chemistry, Literature in English, Mathematics",212,150,86,69.5,60.38,ND Fashion Design
428303fc,"Economics, Literature in English, English Language, Biology, Agricultural Science","C6, F9, B2, C4, B2","Chemistry, Government, Commerce, Mathematics",253,150,82,72.62,50,ND Urban & Regional Planning
d0df8530,"Chemistry, English Language, Commerce, Economics, Agricultural Science","A1, B2, B3, B2, C4","Commerce, Literature in English, Mathematics, Physics",196,150,62,55.5,50.63,ND Building Technology
27ff1df6,"Economics, Government, Chemistry, Commerce, Mathematics","E8, F9, E8, C4, B2","Geography, Mathematics, Literature in English, Commerce",217,150,28,41.12,54,None
cd73a97c,"Government, Mathematics, Economics, Financial Accounting, Civic Education","C6, C5, C5, C6, D7","Chemistry, Literature in English, Geography, Government",319,150,87,83.38,64.38,ND Science Laboratory Technology
ce3b970c,"Government, Financial Accounting, Agricultural Science, Economics, English Language","D7, F9, C4, C4, F9","Physics, Economics, Geography, Chemistry",150,150,80,58.75,62.13,None
d6437c3e,"English Language, Government, Literature in English, Civic Education, Agricultural Science","C4, C6, C6, A1, C5","Government, Geography, Chemistry, English Language",293,150,49,61.12,56.75,ND Chemical Engineering
59ab12c8,"English Language, Economics, Financial Accounting, Civic Education, Mathematics","C5, C5, D7, E8, C4","English Language, Physics, Geography, Literature in English",347,150,74,80.38,54,ND Hospitality Management
c9f53215,"Chemistry, Financial Accounting, Literature in English, Geography, Government","E8, B2, C4, C6, A1","Physics, Biology, English Language, Commerce",199,150,68,58.88,50,ND Quantity Surveying
b71e9f6b,"Commerce, Agricultural Science, Financial Accounting, Civic Education, Chemistry","C5, B3, F9, D7, C4","English Language, Government, Commerce, Economics",304,150,42,59,59.25,None
c839f3b7,"Geography, Economics, Literature in English, Chemistry, Biology","F9, E8, C5, D7, B2","English Language, Mathematics, Biology, Commerce",191,160,34,40.88,50,None
d37e715f,"Civic Education, Mathematics, Chemistry, Government, Biology","C5, D7, A1, B2, C5","Mathematics, Physics, Commerce, Government",220,150,35,45,50,None
3781c4c0,"Commerce, Mathematics, Chemistry, Government, Biology","D7, C4, B2, A1, E8","Biology, Economics, English Language, Chemistry",255,150,45,54.38,54.75,None
f20f4ae7,"English Language, Mathematics, Biology, Geography, Agricultural Science","B3, A1, A1, C4, C6","Geography, Economics, Literature in English, Mathematics",154,150,52,45.25,55.88,None
cc0e07bf,"Civic Education, Physics, Economics, Agricultural Science, Financial Accounting","A1, C6, B2, C4, E8","Chemistry, Literature in English, Government, English Language",217,150,24,39.12,59.75,None
5b61508c,"Geography, Chemistry, Mathematics, Physics, Economics","B3, B3, A1, D7, A1","Government, Physics, Geography, English Language",326,150,23,52.25,56.75,None
1e91fd65,"Physics, Literature in English, Mathematics, Economics, English Language","B2, C4, F9, C4, E8","Economics, Physics, Geography, English Language",312,150,32,55,50,ND Urban & Regional Planning
9b40a9cd,"Financial Accounting, Government, Physics, Geography, English Language","F9, C6, A1, A1, C5","Commerce, Government, Biology, Literature in English",256,160,51,57.5,50,B.Sc Physics Education
a4e64e6d,"Chemistry, Commerce, Mathematics, Financial Accounting, English Language","B2, C5, C5, B3, B3","Commerce, Biology, Mathematics, Literature in English",183,160,57,51.38,50,B.Sc Home Economics Education.
eed77c65,"Government, Agricultural Science, Mathematics, Civic Education, Financial Accounting","C6, A1, C5, E8, E8","Literature in English, Biology, Physics, English Language",211,150,44,48.38,50,None
81a31752,"Physics, Government, Economics, Civic Education, English Language","E8, C4, D7, D7, D7","Economics, Geography, English Language, Government",266,150,51,58.75,59.25,None
11588cef,"Geography, Government, English Language, Commerce, Physics","C4, E8, E8, C4, F9","Mathematics, Chemistry, Literature in English, English Language",195,150,32,40.38,50,None
5cbddd5a,"Economics, Civic Education, Literature in English, Biology, Physics","C5, E8, A1, C4, C5","Geography, Literature in English, Chemistry, Commerce",253,150,23,43.12,56.13,None
1b53b8d0,"Geography, Physics, Literature in English, Financial Accounting, Civic Education","B2, C5, B2, D7, A1","English Language, Chemistry, Physics, Literature in English",253,150,79,71.12,56.5,ND Office Technology & Mgt
de9225ce,"Civic Education, Agricultural Science, Geography, Physics, Financial Accounting","B3, F9, C4, A1, E8","Biology, Commerce, Physics, Government",334,160,94,88.75,50,B.Sc Computer Education
61a9e622,"Agricultural Science, Literature in English, Commerce, English Language, Government","C4, E8, C4, F9, D7","Chemistry, Geography, Biology, Commerce",152,150,28,33,63.25,None
90ab8050,"Mathematics, Agricultural Science, Biology, Chemistry, Commerce","B3, D7, A1, E8, C6","Chemistry, Biology, Government, Commerce",293,160,87,80.12,50,B.Sc Physics Education
22bc60cf,"Economics, Civic Education, Mathematics, Physics, Chemistry","D7, D7, C4, D7, C6","Mathematics, Biology, Commerce, Chemistry",267,150,68,67.38,55.88,ND Food Technology
508c7a65,"Literature in English, Agricultural Science, Government, Civic Education, Geography","E8, B3, B3, D7, C5","Mathematics, Geography, Commerce, English Language",274,150,68,68.25,55.88,ND Food Technology
cedee263,"Literature in English, Mathematics, Government, Economics, Chemistry","F9, A1, C5, A1, C5","Physics, Biology, Mathematics, Geography",304,150,28,52,50,ND Welding & Fabrication
31534df6,"Economics, Agricultural Science, Civic Education, Financial Accounting, Biology","D7, C4, C6, D7, B2","Literature in English, Geography, Economics, Physics",211,160,78,65.38,50,B.Sc Computer Education
a023cc4d,"English Language, Biology, Geography, Financial Accounting, Economics","C4, D7, C5, E8, B3","Government, Biology, Physics, Literature in English",170,150,92,67.25,54.38,ND Banking & Finance
7480b7a1,"Chemistry, English Language, Government, Biology, Literature in English","C5, E8, D7, F9, A1","Chemistry, Biology, Literature in English, Commerce",208,150,50,51,54.75,None
c57cd64e,"Government, Chemistry, Economics, Civic Education, Financial Accounting","C6, C5, D7, D7, F9","English Language, Commerce, Economics, Biology",163,150,32,36.38,50,None
d0710408,"Chemistry, Economics, Government, Civic Education, Physics","C6, C6, A1, B2, C6","English Language, Physics, Commerce, Geography",213,150,82,67.62,61.75,ND Computer Science
85730451,"Government, Literature in English, Agricultural Science, Economics, Mathematics","F9, C5, D7, B3, F9","Mathematics, Commerce, Chemistry, English Language",249,150,33,47.62,63.25,None
d1649692,"Agricultural Science, Literature in English, Biology, Civic Education, Economics","F9, C6, B3, D7, C5","English Language, Biology, Literature in English, Geography",205,150,98,74.62,57.38,ND Mechanical Engineering
e0974dd1,"Chemistry, Government, Financial Accounting, Geography, Economics","C4, B3, F9, C6, E8","Mathematics, Geography, Commerce, Biology",230,150,39,48.25,56.5,None
5d019937,"Mathematics, Physics, Commerce, Chemistry, Geography","F9, A1, B2, C6, A1","Government, Physics, Economics, Mathematics",317,150,98,88.62,58.5,ND Business Administration & Management
21a6fbf5,"Biology, Civic Education, Commerce, Physics, English Language","A1, D7, B2, D7, B2","Economics, Mathematics, Biology, Chemistry",318,150,55,67.25,54,ND Hospitality Management
fa850a76,"Economics, English Language, Civic Education, Geography, Biology","C5, C5, C4, A1, C5","English Language, Economics, Government, Biology",336,150,47,65.5,58,ND Architectural Technology
8578dc54,"Chemistry, Biology, Civic Education, Commerce, Financial Accounting","C4, B3, F9, C5, B2","Economics, Physics, Geography, Commerce",173,150,39,41.12,58,None
6cde5c58,"Literature in English, Civic Education, Commerce, Financial Accounting, Mathematics","D7, C4, F9, A1, C4","English Language, Literature in English, Mathematics, Economics",278,160,73,71.25,50,B.Sc Biology Education
6d5ec68b,"Government, Literature in English, Economics, Mathematics, Biology","B2, C5, B2, C6, C4","Literature in English, Geography, Physics, Economics",188,150,42,44.5,54.88,None
9198ea0c,"English Language, Physics, Literature in English, Mathematics, Economics","A1, A1, C5, C6, A1","Economics, Geography, Physics, Mathematics",169,160,64,53.12,50,B.Sc Physics Education
c710b4d3,"English Language, Commerce, Financial Accounting, Biology, Civic Education","C4, E8, F9, C5, D7","Government, Physics, Geography, Literature in English",240,150,57,58.5,50,ND Leisure & Tourism
1e58d27c,"Geography, Financial Accounting, Literature in English, Physics, Commerce","C6, A1, F9, B3, B2","Chemistry, Geography, Government, Physics",186,150,41,43.75,54.88,None
38074c78,"Economics, Government, Physics, Literature in English, Biology","A1, C4, B2, A1, A1","Mathematics, Physics, Biology, Literature in English",189,150,42,44.62,58,None
c25f881a,"Biology, Government, English Language, Geography, Literature in English","B2, C4, C4, C6, A1","Biology, Mathematics, Government, Physics",182,160,69,57.25,50,B.Sc Computer Education
b3a97ae3,"Literature in English, Chemistry, Civic Education, Commerce, Geography","A1, A1, B3, C4, F9","Mathematics, Economics, Biology, Commerce",350,160,28,57.75,50,B.Sc Industrial Technical Education
51f3a926,"English Language, Literature in English, Commerce, Agricultural Science, Biology","B3, D7, A1, F9, B3","Literature in English, Mathematics, Biology, Government",302,150,33,54.25,56.25,None
e260ca81,"Economics, Financial Accounting, Literature in English, Government, Physics","B3, E8, F9, C5, D7","Economics, Government, Chemistry, Mathematics",292,160,98,85.5,50,B.Sc Computer Education
87389185,"English Language, Civic Education, Biology, Geography, Commerce","F9, C5, A1, B3, F9","Biology, Commerce, Literature in English, Physics",332,150,32,57.5,50,ND Quantity Surveying
e047fd23,"Geography, Civic Education, Literature in English, Government, Agricultural Science","C6, B2, C5, D7, A1","Physics, Chemistry, Mathematics, Economics",284,150,91,81,50,ND Printing Technology
